config,seed,session,budget_frames,ref_raw_r2
film,2,ses-2020-11-24-Run2,200,-0.01649327054619789
film,2,ses-2020-11-24-Run2,400,-0.010028129070997238
film,2,ses-2020-11-24-Run2,800,-0.00724424347281456
film,2,ses-2020-11-24-Run2,1600,-0.011047708243131638
film,2,ses-2020-11-24-Run2,3200,-0.010486405342817307
film,2,ses-2020-11-24-Run2,1000000000,-0.010486405342817307
plain,3,ses-2020-10-30-Run1,200,0.38406925201416015
plain,3,ses-2020-10-30-Run1,400,0.38547647595405576
plain,3,ses-2020-10-30-Run1,800,0.3918170601129532
plain,3,ses-2020-10-30-Run1,1600,0.38990568220615385
plain,3,ses-2020-10-30-Run1,3200,0.39157562851905825
plain,3,ses-2020-10-30-Run1,1000000000,0.39157562851905825
plain,3,ses-2020-10-30-Run2,200,0.3371566414833069
plain,3,ses-2020-10-30-Run2,400,0.343766388297081
plain,3,ses-2020-10-30-Run2,800,0.3492642641067505
plain,3,ses-2020-10-30-Run2,1600,0.35380160212516787
plain,3,ses-2020-10-30-Run2,3200,0.35259219706058503
plain,3,ses-2020-10-30-Run2,1000000000,0.35259219706058503
plain,3,ses-2020-11-18-Run1,200,0.1851058632135391
plain,3,ses-2020-11-18-Run1,400,0.16690241992473603
plain,3,ses-2020-11-18-Run1,800,0.17699230909347535
plain,3,ses-2020-11-18-Run1,1600,0.1829429805278778
plain,3,ses-2020-11-18-Run1,3200,0.18117445707321167
plain,3,ses-2020-11-18-Run1,1000000000,0.18117445707321167
plain,3,ses-2020-11-19-Run1,200,0.12006709119305015
plain,3,ses-2020-11-19-Run1,400,0.14152564108371735
plain,3,ses-2020-11-19-Run1,800,0.1238525539636612
plain,3,ses-2020-11-19-Run1,1600,0.1254002757370472
plain,3,ses-2020-11-19-Run1,3200,0.12517725117504597
plain,3,ses-2020-11-19-Run1,1000000000,0.12517725117504597
plain,3,ses-2020-11-24-Run1,200,0.05462748110294342
plain,3,ses-2020-11-24-Run1,400,0.07646520137786865
plain,3,ses-2020-11-24-Run1,800,0.07507457882165909
plain,3,ses-2020-11-24-Run1,1600,0.08582291677594185
plain,3,ses-2020-11-24-Run1,3200,0.0866383209824562
plain,3,ses-2020-11-24-Run1,1000000000,0.0866383209824562
plain,3,ses-2020-11-24-Run2,200,0.021965135633945466
plain,3,ses-2020-11-24-Run2,400,0.030788181722164153
plain,3,ses-2020-11-24-Run2,800,0.018285079300403594
plain,3,ses-2020-11-24-Run2,1600,0.01662663072347641
plain,3,ses-2020-11-24-Run2,3200,0.021072188019752504
plain,3,ses-2020-11-24-Run2,1000000000,0.021072188019752504
film,3,ses-2020-10-30-Run1,200,0.15439046695828437
film,3,ses-2020-10-30-Run1,400,0.15312744490802288
film,3,ses-2020-10-30-Run1,800,0.16014862582087516
film,3,ses-2020-10-30-Run1,1600,0.15665108636021613
