seed,hidden,nparam,session,budget_frames,calib_seconds,ref_raw_r2
2,128,13634,ses-2020-10-30-Run1,200,4.0,0.3550669431686401
2,128,13634,ses-2020-10-30-Run1,400,8.0,0.3529406815767288
2,128,13634,ses-2020-10-30-Run1,800,16.0,0.34960497319698336
2,128,13634,ses-2020-10-30-Run1,1600,32.0,0.35061303377151487
2,128,13634,ses-2020-10-30-Run1,3200,43.6,0.35070074051618577
2,128,13634,ses-2020-10-30-Run1,1000000000,43.6,0.35070074051618577
2,128,13634,ses-2020-10-30-Run2,200,4.0,0.2272331304848194
2,128,13634,ses-2020-10-30-Run2,400,8.0,0.24525945112109185
2,128,13634,ses-2020-10-30-Run2,800,16.0,0.2398028046824038
2,128,13634,ses-2020-10-30-Run2,1600,32.0,0.24078885205090045
2,128,13634,ses-2020-10-30-Run2,3200,40.8,0.2451797191053629
2,128,13634,ses-2020-10-30-Run2,1000000000,40.8,0.2451797191053629
2,128,13634,ses-2020-11-18-Run1,200,4.0,0.22120868861675264
2,128,13634,ses-2020-11-18-Run1,400,8.0,0.24689853191375732
2,128,13634,ses-2020-11-18-Run1,800,16.0,0.26630558371543883
2,128,13634,ses-2020-11-18-Run1,1600,32.0,0.2558901280164719
2,128,13634,ses-2020-11-18-Run1,3200,40.3,0.26219371855258944
2,128,13634,ses-2020-11-18-Run1,1000000000,40.3,0.26219371855258944
2,128,13634,ses-2020-11-19-Run1,200,4.0,0.035424450784921645
2,128,13634,ses-2020-11-19-Run1,400,8.0,0.07836276441812515
2,128,13634,ses-2020-11-19-Run1,800,16.0,0.07018289808183908
2,128,13634,ses-2020-11-19-Run1,1600,32.0,0.06860934421420098
2,128,13634,ses-2020-11-19-Run1,3200,48.7,0.07374943532049656
2,128,13634,ses-2020-11-19-Run1,1000000000,48.7,0.07374943532049656
2,128,13634,ses-2020-11-24-Run1,200,4.0,-0.07026789784431457
2,128,13634,ses-2020-11-24-Run1,400,8.0,-0.00689878910779953
2,128,13634,ses-2020-11-24-Run1,800,16.0,0.020614956319332123
2,128,13634,ses-2020-11-24-Run1,1600,32.0,0.021472640335559845
2,128,13634,ses-2020-11-24-Run1,3200,35.4,0.022346407175064087
2,128,13634,ses-2020-11-24-Run1,1000000000,35.4,0.022346407175064087
2,128,13634,ses-2020-11-24-Run2,200,4.0,-0.07471539236139506
2,128,13634,ses-2020-11-24-Run2,400,8.0,-0.04171818234026432
2,128,13634,ses-2020-11-24-Run2,800,16.0,-0.03356628268957138
2,128,13634,ses-2020-11-24-Run2,1600,32.0,-0.028885042667388915
2,128,13634,ses-2020-11-24-Run2,3200,37.6,-0.03439872115850449
2,128,13634,ses-2020-11-24-Run2,1000000000,37.6,-0.03439872115850449
