config,seed,nparam,session,budget_frames,ref_raw_r2
se,1,6542,ses-2020-10-30-Run2,200,0.3391802966594696
se,1,6542,ses-2020-10-30-Run2,400,0.3533641040325165
se,1,6542,ses-2020-10-30-Run2,800,0.35529638826847076
se,1,6542,ses-2020-10-30-Run2,1600,0.3570255309343338
se,1,6542,ses-2020-10-30-Run2,3200,0.3581217139959335
se,1,6542,ses-2020-10-30-Run2,1000000000,0.3581217139959335
se,1,6542,ses-2020-11-18-Run1,200,0.13497314155101775
se,1,6542,ses-2020-11-18-Run1,400,0.11574366390705108
se,1,6542,ses-2020-11-18-Run1,800,0.1666579008102417
se,1,6542,ses-2020-11-18-Run1,1600,0.15265112817287446
se,1,6542,ses-2020-11-18-Run1,3200,0.1550496906042099
se,1,6542,ses-2020-11-18-Run1,1000000000,0.1550496906042099
se,1,6542,ses-2020-11-19-Run1,200,-0.004064221680164337
se,1,6542,ses-2020-11-19-Run1,400,0.003773770481348038
se,1,6542,ses-2020-11-19-Run1,800,-0.0005937106907367706
se,1,6542,ses-2020-11-19-Run1,1600,0.001844506710767746
se,1,6542,ses-2020-11-19-Run1,3200,0.004840055853128434
se,1,6542,ses-2020-11-19-Run1,1000000000,0.004840055853128434
se,1,6542,ses-2020-11-24-Run1,200,0.0601953849196434
se,1,6542,ses-2020-11-24-Run1,400,0.045207425206899646
se,1,6542,ses-2020-11-24-Run1,800,0.06408033668994903
se,1,6542,ses-2020-11-24-Run1,1600,0.06832223832607269
se,1,6542,ses-2020-11-24-Run1,3200,0.06974759846925735
se,1,6542,ses-2020-11-24-Run1,1000000000,0.06974759846925735
se,1,6542,ses-2020-11-24-Run2,200,0.044906488806009295
se,1,6542,ses-2020-11-24-Run2,400,0.039985005464404824
se,1,6542,ses-2020-11-24-Run2,800,0.04340740703046322
se,1,6542,ses-2020-11-24-Run2,1600,0.03902837224304676
se,1,6542,ses-2020-11-24-Run2,3200,0.040891682356595994
se,1,6542,ses-2020-11-24-Run2,1000000000,0.040891682356595994
se,2,6542,ses-2020-10-30-Run1,200,0.44702993631362914
se,2,6542,ses-2020-10-30-Run1,400,0.43273358345031737
se,2,6542,ses-2020-10-30-Run1,800,0.4429611027240753
se,2,6542,ses-2020-10-30-Run1,1600,0.443204927444458
se,2,6542,ses-2020-10-30-Run1,3200,0.44256906509399413
se,2,6542,ses-2020-10-30-Run1,1000000000,0.44256906509399413
se,2,6542,ses-2020-10-30-Run2,200,0.3153758630156517
se,2,6542,ses-2020-10-30-Run2,400,0.33386101946234703
se,2,6542,ses-2020-10-30-Run2,800,0.33219223842024803
se,2,6542,ses-2020-10-30-Run2,1600,0.33607716113328934
se,2,6542,ses-2020-10-30-Run2,3200,0.33698029108345506
se,2,6542,ses-2020-10-30-Run2,1000000000,0.33698029108345506
se,2,6542,ses-2020-11-18-Run1,200,0.2071763128042221
se,2,6542,ses-2020-11-18-Run1,400,0.16425425931811333
se,2,6542,ses-2020-11-18-Run1,800,0.21896594911813735
se,2,6542,ses-2020-11-18-Run1,1600,0.20922197103500367
se,2,6542,ses-2020-11-18-Run1,3200,0.20812655091285706
se,2,6542,ses-2020-11-18-Run1,1000000000,0.20812655091285706
se,2,6542,ses-2020-11-19-Run1,200,0.07221705038100482
se,2,6542,ses-2020-11-19-Run1,400,0.05408668406307697
se,2,6542,ses-2020-11-19-Run1,800,0.055388405546545984
se,2,6542,ses-2020-11-19-Run1,1600,0.049540291726589206
se,2,6542,ses-2020-11-19-Run1,3200,0.05574444867670536
se,2,6542,ses-2020-11-19-Run1,1000000000,0.05574444867670536
se,2,6542,ses-2020-11-24-Run1,200,-0.0144127007573843
se,2,6542,ses-2020-11-24-Run1,400,-0.017627729475498198
se,2,6542,ses-2020-11-24-Run1,800,0.013241558521986007
se,2,6542,ses-2020-11-24-Run1,1600,0.018396714329719545
se,2,6542,ses-2020-11-24-Run1,3200,0.018669021874666215
se,2,6542,ses-2020-11-24-Run1,1000000000,0.018669021874666215
se,2,6542,ses-2020-11-24-Run2,200,0.0117769755423069
se,2,6542,ses-2020-11-24-Run2,400,-0.012694698572158814
se,2,6542,ses-2020-11-24-Run2,800,0.00815071389079094
se,2,6542,ses-2020-11-24-Run2,1600,0.0019086360931396484
se,2,6542,ses-2020-11-24-Run2,3200,0.0033312495797872543
se,2,6542,ses-2020-11-24-Run2,1000000000,0.0033312495797872543
se,3,6542,ses-2020-10-30-Run1,200,0.44016274213790896
se,3,6542,ses-2020-10-30-Run1,400,0.4270410895347595
se,3,6542,ses-2020-10-30-Run1,800,0.4338544189929962
se,3,6542,ses-2020-10-30-Run1,1600,0.43960041403770445
se,3,6542,ses-2020-10-30-Run1,3200,0.4371692419052124
se,3,6542,ses-2020-10-30-Run1,1000000000,0.4371692419052124
se,3,6542,ses-2020-10-30-Run2,200,0.34623156785964965
se,3,6542,ses-2020-10-30-Run2,400,0.3545393317937851
se,3,6542,ses-2020-10-30-Run2,800,0.3525002032518387
se,3,6542,ses-2020-10-30-Run2,1600,0.3538279265165329
se,3,6542,ses-2020-10-30-Run2,3200,0.353784903883934
se,3,6542,ses-2020-10-30-Run2,1000000000,0.353784903883934
se,3,6542,ses-2020-11-18-Run1,200,0.2680872276425362
se,3,6542,ses-2020-11-18-Run1,400,0.23413792699575425
se,3,6542,ses-2020-11-18-Run1,800,0.2718856742605567
se,3,6542,ses-2020-11-18-Run1,1600,0.269921363517642
se,3,6542,ses-2020-11-18-Run1,3200,0.27015647422522304
se,3,6542,ses-2020-11-18-Run1,1000000000,0.27015647422522304
se,3,6542,ses-2020-11-19-Run1,200,0.10832164529711008
se,3,6542,ses-2020-11-19-Run1,400,0.10938032828271389
se,3,6542,ses-2020-11-19-Run1,800,0.10027948990464211
se,3,6542,ses-2020-11-19-Run1,1600,0.09885138347744941
se,3,6542,ses-2020-11-19-Run1,3200,0.10327932126820087
se,3,6542,ses-2020-11-19-Run1,1000000000,0.10327932126820087
se,3,6542,ses-2020-11-24-Run1,200,0.14520930945873262
se,3,6542,ses-2020-11-24-Run1,400,0.14807266741991043
se,3,6542,ses-2020-11-24-Run1,800,0.1489063762128353
se,3,6542,ses-2020-11-24-Run1,1600,0.16016018390655518
se,3,6542,ses-2020-11-24-Run1,3200,0.15917705595493317
se,3,6542,ses-2020-11-24-Run1,1000000000,0.15917705595493317
se,3,6542,ses-2020-11-24-Run2,200,0.13777482360601426
se,3,6542,ses-2020-11-24-Run2,400,0.11759240329265594
se,3,6542,ses-2020-11-24-Run2,800,0.12242520004510879
se,3,6542,ses-2020-11-24-Run2,1600,0.11643220782279969
se,3,6542,ses-2020-11-24-Run2,3200,0.11688269674777985
se,3,6542,ses-2020-11-24-Run2,1000000000,0.11688269674777985
glu,1,7234,ses-2020-10-30-Run1,200,0.37438479959964754
glu,1,7234,ses-2020-10-30-Run1,400,0.35398189425468446
glu,1,7234,ses-2020-10-30-Run1,800,0.36361525654792787
glu,1,7234,ses-2020-10-30-Run1,1600,0.363320979475975
glu,1,7234,ses-2020-10-30-Run1,3200,0.3634736776351929
glu,1,7234,ses-2020-10-30-Run1,1000000000,0.3634736776351929
glu,1,7234,ses-2020-10-30-Run2,200,0.2734711289405823
glu,1,7234,ses-2020-10-30-Run2,400,0.27388968169689176
glu,1,7234,ses-2020-10-30-Run2,800,0.2798177182674408
glu,1,7234,ses-2020-10-30-Run2,1600,0.28613553643226625
glu,1,7234,ses-2020-10-30-Run2,3200,0.2857588827610016
glu,1,7234,ses-2020-10-30-Run2,1000000000,0.2857588827610016
glu,1,7234,ses-2020-11-18-Run1,200,0.14803575575351716
glu,1,7234,ses-2020-11-18-Run1,400,0.10545493960380554
glu,1,7234,ses-2020-11-18-Run1,800,0.168230077624321
glu,1,7234,ses-2020-11-18-Run1,1600,0.15701758861541748
glu,1,7234,ses-2020-11-18-Run1,3200,0.1597359836101532
glu,1,7234,ses-2020-11-18-Run1,1000000000,0.1597359836101532
glu,1,7234,ses-2020-11-19-Run1,200,0.05072824060916901
glu,1,7234,ses-2020-11-19-Run1,400,0.05371351148933172
glu,1,7234,ses-2020-11-19-Run1,800,0.049206979366135786
glu,1,7234,ses-2020-11-19-Run1,1600,0.04629366490989924
glu,1,7234,ses-2020-11-19-Run1,3200,0.05050023097428493
glu,1,7234,ses-2020-11-19-Run1,1000000000,0.05050023097428493
glu,1,7234,ses-2020-11-24-Run1,200,0.09794160425662994
glu,1,7234,ses-2020-11-24-Run1,400,0.09036661088466644
glu,1,7234,ses-2020-11-24-Run1,800,0.119303497672081
glu,1,7234,ses-2020-11-24-Run1,1600,0.119976007938385
glu,1,7234,ses-2020-11-24-Run1,3200,0.12188215255737304
glu,1,7234,ses-2020-11-24-Run1,1000000000,0.12188215255737304
glu,1,7234,ses-2020-11-24-Run2,200,-0.03389163911342621
glu,1,7234,ses-2020-11-24-Run2,400,-0.028654385730624198
glu,1,7234,ses-2020-11-24-Run2,800,-0.023800301551818847
glu,1,7234,ses-2020-11-24-Run2,1600,-0.029430574923753738
glu,1,7234,ses-2020-11-24-Run2,3200,-0.02684956565499306
glu,1,7234,ses-2020-11-24-Run2,1000000000,-0.02684956565499306
glu,2,7234,ses-2020-10-30-Run1,200,0.3367502182722092
glu,2,7234,ses-2020-10-30-Run1,400,0.322087237238884
glu,2,7234,ses-2020-10-30-Run1,800,0.32686409056186677
glu,2,7234,ses-2020-10-30-Run1,1600,0.3296584874391556
glu,2,7234,ses-2020-10-30-Run1,3200,0.32815905213356017
glu,2,7234,ses-2020-10-30-Run1,1000000000,0.32815905213356017
glu,2,7234,ses-2020-10-30-Run2,200,0.1846607815939933
glu,2,7234,ses-2020-10-30-Run2,400,0.18241616673767566
glu,2,7234,ses-2020-10-30-Run2,800,0.19314717836678028
glu,2,7234,ses-2020-10-30-Run2,1600,0.2004134469665587
glu,2,7234,ses-2020-10-30-Run2,3200,0.2003813094459474
glu,2,7234,ses-2020-10-30-Run2,1000000000,0.2003813094459474
glu,2,7234,ses-2020-11-18-Run1,200,0.09467058181762696
glu,2,7234,ses-2020-11-18-Run1,400,0.05611027777194977
