config,seed,nparam,session,budget_frames,calib_seconds,ref_raw_r2
plain,2,4130,ses-2020-11-24-Run1,3200,35.4,-0.011708825826644897
plain,2,4130,ses-2020-11-24-Run1,1000000000,35.4,-0.011708825826644897
plain,2,4130,ses-2020-11-24-Run2,200,4.0,-0.0003159079700708389
plain,2,4130,ses-2020-11-24-Run2,400,8.0,-0.034800207847729324
plain,2,4130,ses-2020-11-24-Run2,800,16.0,-0.009614340774714947
plain,2,4130,ses-2020-11-24-Run2,1600,32.0,-0.01348327836021781
plain,2,4130,ses-2020-11-24-Run2,3200,37.6,-0.011113306786864997
plain,2,4130,ses-2020-11-24-Run2,1000000000,37.6,-0.011113306786864997
plain,3,4130,ses-2020-10-30-Run1,200,4.0,0.38986124396324157
plain,3,4130,ses-2020-10-30-Run1,400,8.0,0.388688725233078
plain,3,4130,ses-2020-10-30-Run1,800,16.0,0.388572034239769
plain,3,4130,ses-2020-10-30-Run1,1600,32.0,0.38890046775341036
plain,3,4130,ses-2020-10-30-Run1,3200,43.6,0.38963901102542875
plain,3,4130,ses-2020-10-30-Run1,1000000000,43.6,0.38963901102542875
plain,3,4130,ses-2020-10-30-Run2,200,4.0,0.29069612473249434
plain,3,4130,ses-2020-10-30-Run2,400,8.0,0.3104352742433548
plain,3,4130,ses-2020-10-30-Run2,800,16.0,0.30297321677207945
plain,3,4130,ses-2020-10-30-Run2,1600,32.0,0.3106019884347916
plain,3,4130,ses-2020-10-30-Run2,3200,40.8,0.31094751954078675
plain,3,4130,ses-2020-10-30-Run2,1000000000,40.8,0.31094751954078675
plain,3,4130,ses-2020-11-18-Run1,200,4.0,0.2229306221008301
plain,3,4130,ses-2020-11-18-Run1,400,8.0,0.20871532559394837
plain,3,4130,ses-2020-11-18-Run1,800,16.0,0.20175130665302277
plain,3,4130,ses-2020-11-18-Run1,1600,32.0,0.21302631199359895
plain,3,4130,ses-2020-11-18-Run1,3200,40.3,0.21168439388275145
plain,3,4130,ses-2020-11-18-Run1,1000000000,40.3,0.21168439388275145
plain,3,4130,ses-2020-11-19-Run1,200,4.0,0.14019396007061005
plain,3,4130,ses-2020-11-19-Run1,400,8.0,0.1403005003929138
plain,3,4130,ses-2020-11-19-Run1,800,16.0,0.143150145560503
plain,3,4130,ses-2020-11-19-Run1,1600,32.0,0.13148894235491754
plain,3,4130,ses-2020-11-19-Run1,3200,48.7,0.13772910498082638
plain,3,4130,ses-2020-11-19-Run1,1000000000,48.7,0.13772910498082638
plain,3,4130,ses-2020-11-24-Run1,200,4.0,0.15136519074440002
plain,3,4130,ses-2020-11-24-Run1,400,8.0,0.1567027598619461
