left,right,left_split,right_split,days_apart,n_common,n_union,jaccard,sufficient,r_norm_flat,rmse_norm,r_raw_a,r_raw_c,r_raw_magnitude,r_raw_baseline,null_r_mean,actual_minus_null
sub-C_ses-CO-20150312,sub-C_ses-CO-20150319,train,train,7,37,61,0.6065573770491803,True,0.6734640266240319,0.8409460783004761,0.758239724457218,0.6433607681875179,0.5083968375824488,0.7739170129273272,0.009048353411403776,0.6644156732126282
sub-C_ses-CO-20150312,sub-C_ses-CO-20150629,train,train,109,28,62,0.45161290322580644,True,0.4072112411454005,1.1551804542541504,0.26420820964185304,0.4633797985666379,0.5142403656239267,0.37288755084666475,-0.011287070551188745,0.4184983116965893
sub-C_ses-CO-20150312,sub-C_ses-CO-20150630,train,train,110,24,62,0.3870967741935484,True,0.24234183279435045,1.4121960401535034,0.037716132422060934,0.2734963350640006,0.3269782724542996,0.3170870733717754,-0.0040719463487500634,0.24641377914310053
sub-C_ses-CO-20150312,sub-C_ses-CO-20150701,train,train,111,27,62,0.43548387096774194,True,0.2306359181829795,1.2756906747817993,-0.04187523411226304,0.3101178830506188,0.35892564929625165,0.3146333681331699,0.015312671983422349,0.21532324619955714
sub-C_ses-CO-20150312,sub-C_ses-CO-20150703,train,train,113,27,64,0.421875,True,0.33078570639449306,1.1974531412124634,0.02977824244283297,0.5125502279070019,0.4746010823290529,0.3225426970352848,-0.0018547475848086125,0.3326404539793017
sub-C_ses-CO-20150312,sub-C_ses-CO-20150706,train,train,116,27,59,0.4576271186440678,True,0.3747003259070335,1.129631519317627,0.26280921578405525,0.37784427305554297,0.4855963682594481,0.3600368715191087,0.002679402076095039,0.3720209238309385
sub-C_ses-CO-20150312,sub-C_ses-CO-20150707,train,train,117,25,58,0.43103448275862066,True,0.36740384843912877,1.1198878288269043,0.13727890576597568,0.5162214702482525,0.5312534395956305,0.32767879799893446,0.006899744484931649,0.36050410395419713
sub-C_ses-CO-20150312,sub-C_ses-CO-20150708,train,train,118,33,62,0.532258064516129,True,0.3428306730532166,1.2087516784667969,0.2984324886895225,0.4131349440977908,0.2021624214818638,0.44062139854572546,0.013264838193861045,0.32956583485935553
sub-C_ses-CO-20150312,sub-C_ses-CO-20150709,train,train,119,27,61,0.4426229508196721,True,0.4083229965508116,1.1497312784194946,0.28339153851605653,0.5185431984916671,0.4570466390315282,0.4194335044875045,-0.0001425164623090569,0.4084655130131207
sub-C_ses-CO-20150312,sub-C_ses-CO-20150710,train,train,120,24,60,0.4,True,0.36831976964135354,1.139961838722229,0.06696503226222097,0.529794965772418,0.599487843692377,0.28724853921202,0.005037553605492028,0.3632822160358615
sub-C_ses-CO-20150312,sub-C_ses-CO-20150713,train,train,123,27,63,0.42857142857142855,True,0.44405160179968517,1.0565102100372314,0.19347464063368894,0.6114494641118755,0.5948802814608495,0.37576633264543513,0.008553685862750375,0.4354979159369348
sub-C_ses-CO-20150312,sub-C_ses-CO-20150714,train,train,124,30,62,0.4838709677419355,True,0.45801213291470194,1.0877882242202759,0.23571369926733568,0.5730520192532612,0.558146481353645,0.4510769534315455,-0.00035000992944941747,0.45836214284415133
sub-C_ses-CO-20150312,sub-C_ses-CO-20150715,train,train,125,30,61,0.4918032786885246,True,0.38306607750085564,1.1255152225494385,0.4280068444175454,0.39266879471294946,0.3361298825029525,0.3721093588455843,0.014901948672884486,0.36816412882797117
sub-C_ses-CO-20150312,sub-C_ses-CO-20150716,train,train,126,28,62,0.45161290322580644,True,0.2805038759638447,1.3462657928466797,0.27727220292889987,0.41753843477463176,0.1914699212896721,0.25382130440116535,-0.0045600801047643354,0.285063956068609
sub-C_ses-CO-20150312,sub-C_ses-CO-20151103,train,dev,236,24,57,0.42105263157894735,True,0.06783515779864069,1.4420967102050781,0.24282447562432696,0.030800474731361795,-0.145600957463689,0.14781717454284826,-0.011575269270641151,0.07941042706928184
sub-C_ses-CO-20150312,sub-C_ses-CO-20151104,train,dev,237,32,64,0.5,True,0.13490731201808392,1.6076008081436157,0.2714108927479001,0.14810327675994892,-0.010737591981048858,0.1335450059738138,0.023020871767632897,0.11188644025045102
sub-C_ses-CO-20150312,sub-C_ses-CO-20151106,train,dev,239,32,63,0.5079365079365079,True,0.23034848564423718,1.5108411312103271,0.2094779079737956,0.2766303222951258,0.11075236879594648,0.4116236614459632,0.0038161046654603347,0.22653238097877684
sub-C_ses-CO-20150312,sub-C_ses-CO-20151109,train,dev,242,35,62,0.5645161290322581,True,0.18822184067511244,1.5625461339950562,0.2383556553076587,0.14737941465460133,0.06802448606641623,0.38399288893981853,-0.004280224571873429,0.19250206524698588
sub-C_ses-CO-20150312,sub-C_ses-CO-20151110,train,dev,243,35,60,0.5833333333333334,True,0.17462039154707099,1.6475119590759277,0.2947710536705786,0.11918032204830503,0.035112754171664616,0.3524151547703182,0.0057893242310629416,0.16883106731600805
sub-C_ses-CO-20150312,sub-C_ses-CO-20151112,train,dev,245,29,60,0.48333333333333334,True,0.10770428606923307,1.8111404180526733,0.1497391967852261,0.15300836507521076,-0.013648628602002244,0.33319611075798733,-0.02307936852669704,0.1307836545959301
sub-C_ses-CO-20150313,sub-C_ses-CO-20150319,train,train,6,36,57,0.631578947368421,True,0.750821311916285,0.7110267281532288,0.790451493337404,0.728530002017411,0.6640444850588352,0.8334677985550357,0.007648405102404756,0.7431729068138803
sub-C_ses-CO-20150313,sub-C_ses-CO-20150629,train,train,108,27,58,0.46551724137931033,True,0.4726406887687412,1.0564976930618286,0.3904924339856577,0.4626452831628017,0.596671916380043,0.4242940214417848,0.002218997451200799,0.4704216913175404
sub-C_ses-CO-20150313,sub-C_ses-CO-20150630,train,train,109,24,57,0.42105263157894735,True,0.27803966885903086,1.3464252948760986,0.1644122253182597,0.3274630144557427,0.24900407200250746,0.3533132362949425,0.005175368141034695,0.27286430071799617
sub-C_ses-CO-20150313,sub-C_ses-CO-20150701,train,train,110,25,59,0.423728813559322,True,0.33332807433745626,1.1688659191131592,0.09998961389331457,0.3903210070376546,0.38617015170225527,0.4057109363542936,0.009122634937810814,0.32420543939964547
sub-C_ses-CO-20150313,sub-C_ses-CO-20150703,train,train,112,26,60,0.43333333333333335,True,0.4459494915715361,1.063280701637268,0.13307929133415006,0.5516243664340995,0.5926125603970112,0.42898334395685506,0.01360649910162554,0.4323429924699106
sub-C_ses-CO-20150313,sub-C_ses-CO-20150706,train,train,115,27,54,0.5,True,0.44538698117208236,1.0309473276138306,0.2817332996838808,0.4686903866215515,0.5529249136812958,0.43244908456295117,0.011648439613442276,0.4337385415586401
sub-C_ses-CO-20150313,sub-C_ses-CO-20150707,train,train,116,23,55,0.41818181818181815,True,0.4293711712198347,1.064677357673645,0.23999843731998596,0.5801089837315083,0.5499894276952177,0.3488526014870244,0.011077689950365519,0.4182934812694692
sub-C_ses-CO-20150313,sub-C_ses-CO-20150708,train,train,117,32,58,0.5517241379310345,True,0.37327907378053454,1.1683179140090942,0.33768946425356294,0.42741798660031416,0.26733694279044556,0.44384499003921407,0.011755614876974551,0.36152345890355997
sub-C_ses-CO-20150313,sub-C_ses-CO-20150709,train,train,118,25,58,0.43103448275862066,True,0.4706267362671083,1.1005491018295288,0.31182145061853184,0.5539974171154312,0.5141543838074137,0.4740262040833966,0.005304741126552872,0.46532199514055544
sub-C_ses-CO-20150313,sub-C_ses-CO-20150710,train,train,119,22,57,0.38596491228070173,True,0.45182448258943586,1.0701228380203247,0.11238058696015754,0.5426388462036248,0.6764053059592066,0.36942493001652965,0.004349151250529854,0.447475331338906
